Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
109,27,5,82,3,Some Random Commen with Id 109
110,27,5,157,5,Some Random Commen with Id 110
111,27,5,86,7,Some Random Commen with Id 111
112,27,5,70,5,Some Random Commen with Id 112
113,27,5,132,9,Some Random Commen with Id 113
114,28,4,103,4,Some Random Commen with Id 114
115,28,4,163,5,Some Random Commen with Id 115
116,28,4,165,8,Some Random Commen with Id 116
117,28,4,118,8,Some Random Commen with Id 117
118,28,4,193,1,Some Random Commen with Id 118
119,28,4,189,3,Some Random Commen with Id 119
120,28,4,19,1,Some Random Commen with Id 120
121,28,4,188,2,Some Random Commen with Id 121
122,28,4,71,9,Some Random Commen with Id 122
123,29,5,194,0,Some Random Commen with Id 123
124,29,5,62,3,Some Random Commen with Id 124
125,29,5,0,3,Some Random Commen with Id 125
126,29,5,155,2,Some Random Commen with Id 126
127,29,5,43,1,Some Random Commen with Id 127
128,29,5,114,5,Some Random Commen with Id 128
129,29,5,190,6,Some Random Commen with Id 129
130,29,5,124,5,Some Random Commen with Id 130
131,30,0,65,3,Some Random Commen with Id 131
132,30,0,108,1,Some Random Commen with Id 132
133,30,0,93,8,Some Random Commen with Id 133
134,30,0,141,7,Some Random Commen with Id 134
135,30,0,174,3,Some Random Commen with Id 135
136,30,0,159,2,Some Random Commen with Id 136
137,30,0,41,9,Some Random Commen with Id 137
138,30,0,9,7,Some Random Commen with Id 138
139,30,0,116,5,Some Random Commen with Id 139
140,31,8,134,6,Some Random Commen with Id 140
141,31,8,114,3,Some Random Commen with Id 141
142,31,8,59,2,Some Random Commen with Id 142
143,31,8,194,0,Some Random Commen with Id 143
144,31,8,60,3,Some Random Commen with Id 144
145,31,8,76,6,Some Random Commen with Id 145
146,32,5,198,5,Some Random Commen with Id 146
147,32,5,195,2,Some Random Commen with Id 147
148,32,5,50,5,Some Random Commen with Id 148
149,32,5,86,5,Some Random Commen with Id 149
150,32,5,103,6,Some Random Commen with Id 150
151,32,5,25,9,Some Random Commen with Id 151
152,33,1,146,3,Some Random Commen with Id 152
153,33,1,68,8,Some Random Commen with Id 153
154,33,1,50,2,Some Random Commen with Id 154
155,33,1,126,0,Some Random Commen with Id 155
156,33,1,5,4,Some Random Commen with Id 156
157,33,1,6,5,Some Random Commen with Id 157
158,33,1,77,7,Some Random Commen with Id 158
159,33,1,117,1,Some Random Commen with Id 159
160,33,1,151,0,Some Random Commen with Id 160
161,34,1,117,6,Some Random Commen with Id 161
162,36,0,121,3,Some Random Commen with Id 162
163,36,0,165,1,Some Random Commen with Id 163
164,36,0,188,1,Some Random Commen with Id 164
165,37,3,173,9,Some Random Commen with Id 165
166,37,3,50,1,Some Random Commen with Id 166
167,37,3,194,5,Some Random Commen with Id 167
168,37,3,172,0,Some Random Commen with Id 168
169,37,3,7,7,Some Random Commen with Id 169
170,37,3,101,2,Some Random Commen with Id 170
171,37,3,112,1,Some Random Commen with Id 171
172,37,3,145,7,Some Random Commen with Id 172
173,37,3,82,0,Some Random Commen with Id 173
174,39,1,78,3,Some Random Commen with Id 174
175,39,1,34,9,Some Random Commen with Id 175
176,39,1,73,8,Some Random Commen with Id 176
177,39,1,17,1,Some Random Commen with Id 177
178,39,1,48,1,Some Random Commen with Id 178
179,39,1,63,8,Some Random Commen with Id 179
180,39,1,124,8,Some Random Commen with Id 180
181,39,1,82,6,Some Random Commen with Id 181
182,39,1,141,2,Some Random Commen with Id 182
